Index,X,Y,Z,Target_X,Target_Y,Target_Z
343,-0.304773,-0.0152637,0.695945,-0.3044,-0.0149,0.6996
344,-0.304767,-0.0152576,0.696007,-0.3044,-0.0149,0.6996
345,-0.304761,-0.0152515,0.696067,-0.3044,-0.0149,0.6996
346,-0.304755,-0.0152456,0.696127,-0.3044,-0.0149,0.6996
347,-0.304749,-0.0152397,0.696186,-0.3044,-0.0149,0.6996
348,-0.304743,-0.0152338,0.696245,-0.3044,-0.0149,0.6996
349,-0.304737,-0.0152281,0.696302,-0.3044,-0.0149,0.6996
350,-0.304732,-0.0152224,0.696359,-0.3044,-0.0149,0.6996
351,-0.304726,-0.0152168,0.696416,-0.3044,-0.0149,0.6996
352,-0.304721,-0.0152113,0.696471,-0.3044,-0.0149,0.6996
353,-0.304715,-0.0152058,0.696527,-0.3044,-0.0149,0.6996
354,-0.30471,-0.0152003,0.696581,-0.3044,-0.0149,0.6996
355,-0.304704,-0.0151949,0.696636,-0.3044,-0.0149,0.6996
356,-0.304699,-0.0151896,0.696689,-0.3044,-0.0149,0.6996
357,-0.304694,-0.0151843,0.696743,-0.3044,-0.0149,0.6996
358,-0.304688,-0.015179,0.696795,-0.3044,-0.0149,0.6996
359,-0.304683,-0.0151738,0.696848,-0.3044,-0.0149,0.6996
360,-0.304678,-0.0151686,0.696899,-0.3044,-0.0149,0.6996
361,-0.304673,-0.0151635,0.696951,-0.3044,-0.0149,0.6996
362,-0.304668,-0.0151585,0.697001,-0.3044,-0.0149,0.6996
363,-0.304663,-0.0151534,0.697052,-0.3044,-0.0149,0.6996
364,-0.304658,-0.0151484,0.697102,-0.3044,-0.0149,0.6996
365,-0.304653,-0.0151435,0.697152,-0.3044,-0.0149,0.6996
366,-0.304648,-0.0151385,0.697202,-0.3044,-0.0149,0.6996
367,-0.304643,-0.0151336,0.697251,-0.3044,-0.0149,0.6996
368,-0.304638,-0.0151288,0.6973,-0.3044,-0.0149,0.6996
369,-0.304633,-0.0151239,0.697348,-0.3044,-0.0149,0.6996
370,-0.304628,-0.0151192,0.697396,-0.3044,-0.0149,0.6996
371,-0.304623,-0.0151144,0.697444,-0.3044,-0.0149,0.6996
372,-0.304619,-0.0151097,0.697492,-0.3044,-0.0149,0.6996
373,-0.304614,-0.0151049,0.697539,-0.3044,-0.0149,0.6996
374,-0.304609,-0.0151003,0.697586,-0.3044,-0.0149,0.6996
375,-0.304604,-0.0150956,0.697633,-0.3044,-0.0149,0.6996
376,-0.3046,-0.015091,0.697679,-0.3044,-0.0149,0.6996
377,-0.304595,-0.0150863,0.697726,-0.3044,-0.0149,0.6996
378,-0.30459,-0.0150817,0.697772,-0.3044,-0.0149,0.6996
379,-0.304586,-0.0150772,0.697818,-0.3044,-0.0149,0.6996
380,-0.304581,-0.0150726,0.697864,-0.3044,-0.0149,0.6996
381,-0.304577,-0.0150681,0.697909,-0.3044,-0.0149,0.6996
